 __label__8, 人 狼 なんて いる わけ ない じゃん 。 みんな 大げさ だ なあ 
 __label__8, 何 、 人 狼 ？ 奴ら が ついに この 村 に も 出る よう に なっ た の か ・ ・ ・ ？ うーむ 、 そろそろ 妻 と 娘 を こっち に 呼ぼ う か と 思っ て い た のに な ・ ・ ・ 厄介 な こっ た 。 
 __label__8, どうやら 俺 が 一番乗り （ ゲルト 除く ） みたい だ な 。 こいつ で も 用意 し て おく か 。 ■ 1 . 主 な 参加 時間 ■ 2 . 仮 ・ 本 決定 時間 の 希望 ■ 3 . 特殊 ルール 等 の 希望 □ 4 . 自己 紹介 
 __label__8, ■ 1 . 不定期 に 顔 を 出す が 、 基本 的 に 20 時 ～ 23 時 頃 が メイン に なる 。 ■ 2 . 仮 21 : 00 本 21 : 30 くらい だろ う か 。 もっとも 、 皆 の 意見 に 極力 合わせる つもり だ 。 ■ 3 . 特に 無い 。 あえて 言う なら 、 個人 戦 より まとめ 制 の 方 が 好み だ と いう くらい だ が ・ ・ ・ Ｇ 国 だ と 少々 難しい か ？ □ 4 . 見 て の 通り 、 木こり を やっ て いる トーマス と 言う 。 妻子 と は 別居 中 ・ ・ ・ 不仲 な ん じゃ ない ぞ ？ ちょっと 複雑 な 訳 が あっ て だ な ・ ・ ・ 
 __label__8, 時間 が 取れ た から 覗き に 来 た が ・ ・ ・ まだ 誰 も 来 て い ない だ な 。 何故 だ ？ 俺 が 怖い の か ・ ・ ・ ？ 俺 は 全然 怖く ない ぞ 、 見 て の 通り ゆか い な 木こり の おじさん だ 。 ・ ・ ・ 単純 に 、 休日 前 で 時間 が 取れ ない だけ な の かも しれ ない が 。 
 __label__8, トーマス さん 怖い の です よ … … めそ 
 __label__8, おお 、 やっと 人 が 来 た か 。 待っ て い た ぞ 、 カタリナ・・・ って そう か 、 やっぱり 俺 は 怖い の か ・ ・ ・ そう だ よ なー ・ ・ ・ 娘 に 「 い ない い ない ば あ 」 を し たら 速攻 で 泣か れ た 事 の ある よう な 男 だ もの な ・ ・ ・ 俺 ・ ・ ・ [... は しょげ て いる ] 
 __label__8, もしかして 、 その 娘 さん は 想像 の … … なん で も ない の です よ 、 ぷよ 。 だい じ ょ ー ぶ です 、 怖い 人 で も 怖い 人 なり に できる こと が 絶対 ある の です よっ 
 __label__8, ああ 、 そう だ な カタリナ 。 怖がら れ て も めげ て は いけ ない ・ ・ ・ 俺 は 俺 の 仕事 を きちんと こなす だけ だ ・ ・ ・ って 、 おい 、 俺 の 家族 を 想像 だ と ・ ・ ・ ？ 失礼 な 。 ちゃんと し た 本物 の 娘 だ 。 写真 も ある ぞ 。 [... は 自分 と 女性 と 少女 が 写っ て いる 写真 を 取り出し て 見せ た 。 ] 
 __label__8, あ 、 本当 な の です 。 ごめんなさい な の です 、 めそ 。 人 こ ない の です 
 __label__8, そう だ な ・ ・ ・ この 辺り の 時間 帯 は 、 人 が 集まる と 聞い た こと が ある ん だ が 。 ここ まで 集まら ない の も 珍しい な 。 ま 、 まったり 人 を 待つ こと に する か 。 取りあえず 、 お茶 で も 入れ て おく かつ 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 
